UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,31.104905,77.173433,2197,0,0,0,No Data,No Data
1178690401,2007-05-09T06:00:01Z,31.104914,77.173396,2197,0.0036714,0,0,No Data,No Data
1178690408,2007-05-09T06:00:08Z,31.105004,77.173086,2197,0.0348414,0,0,No Data,No Data
1178690414,2007-05-09T06:00:14Z,31.105080,77.172867,2198,0.0573211,0,0,No Data,No Data
1178690417,2007-05-09T06:00:17Z,31.105134,77.172758,2198,0.0692732,0,0,No Data,No Data
1178690420,2007-05-09T06:00:20Z,31.105188,77.172613,2198,0.0843685,0,0,No Data,No Data
1178690425,2007-05-09T06:00:25Z,31.105265,77.172418,2198,0.1048579,0,0,No Data,No Data
1178690427,2007-05-09T06:00:27Z,31.105191,77.172379,2198,0.1138591,0,0,No Data,No Data
1178690428,2007-05-09T06:00:28Z,31.105211,77.172346,2198,0.1176635,0,0,No Data,No Data
1178690430,2007-05-09T06:00:30Z,31.105238,77.172288,2198,0.1239562,0,0,No Data,No Data
1178690431,2007-05-09T06:00:31Z,31.105256,77.172244,2198,0.1285932,0,0,No Data,No Data
1178690433,2007-05-09T06:00:33Z,31.105289,77.172139,2198,0.1392558,0,0,No Data,No Data
1178690435,2007-05-09T06:00:35Z,31.105306,77.172081,2187,0.1450748,0,0,No Data,No Data
1178690436,2007-05-09T06:00:36Z,31.105327,77.172015,2187,0.1517628,0,0,No Data,No Data
1178690439,2007-05-09T06:00:39Z,31.105353,77.171912,2187,0.1620053,0,0,No Data,No Data
1178690440,2007-05-09T06:00:40Z,31.105366,77.171844,2187,0.1685651,0,0,No Data,No Data
1178690441,2007-05-09T06:00:41Z,31.105367,77.171839,2187,0.1690307,0,0,No Data,No Data
1178690442,2007-05-09T06:00:42Z,31.105363,77.171756,2187,0.1768871,0,0,No Data,No Data
1178690444,2007-05-09T06:00:44Z,31.105343,77.171677,2187,0.1846876,0,0,No Data,No Data
1178690446,2007-05-09T06:00:46Z,31.105317,77.171616,2187,0.1911412,0,0,No Data,No Data
1178690448,2007-05-09T06:00:48Z,31.105280,77.171531,2187,0.2001132,0,0,No Data,No Data
