UNIX TIME;TIME;LAT;LONG;ALT;DIST;HR;CAD;TEMP;POWER
1178690400;2007-05-09T06:00:00Z;31,043462;77,121553;1617;0;0;0;No Data;No Data
1178690410;2007-05-09T06:00:10Z;31,043273;77,121936;1617;0.0421958;0;0;No Data;No Data
1178690420;2007-05-09T06:00:20Z;31,043112;77,122308;1636;0.0819527;0;0;No Data;No Data
1178690431;2007-05-09T06:00:31Z;31,042956;77,122774;1654;0.1296926;0;0;No Data;No Data
1178690443;2007-05-09T06:00:43Z;31,042780;77,123234;1687;0.1777954;0;0;No Data;No Data
1178690454;2007-05-09T06:00:54Z;31,042607;77,123693;1687;0.2256354;0;0;No Data;No Data
1178690469;2007-05-09T06:01:09Z;31,042294;77,124233;1723;0.2878786;0;0;No Data;No Data
1178690483;2007-05-09T06:01:23Z;31,041930;77,124684;1767;0.3470011;0;0;No Data;No Data
1178690493;2007-05-09T06:01:33Z;31,041773;77,125044;1767;0.3855577;0;0;No Data;No Data
1178690501;2007-05-09T06:01:41Z;31,041535;77,125311;1767;0.4223274;0;0;No Data;No Data
1178690513;2007-05-09T06:01:53Z;31,041202;77,125668;1807;0.4727012;0;0;No Data;No Data
1178690527;2007-05-09T06:02:07Z;31,040779;77,126023;1807;0.5306849;0;0;No Data;No Data
1178690536;2007-05-09T06:02:16Z;31,040563;77,126290;1807;0.565776;0;0;No Data;No Data
1178690548;2007-05-09T06:02:28Z;31,040243;77,126645;1842;0.6149418;0;0;No Data;No Data
1178690562;2007-05-09T06:02:42Z;31,039826;77,127018;1842;0.6734698;0;0;No Data;No Data
1178690573;2007-05-09T06:02:53Z;31,039547;77,127406;1807;0.7217861;0;0;No Data;No Data
1178690584;2007-05-09T06:03:04Z;31,039187;77,127611;1807;0.7663079;0;0;No Data;No Data
1178690592;2007-05-09T06:03:12Z;31,038901;77,127720;1807;0.7998133;0;0;No Data;No Data
1178690602;2007-05-09T06:03:22Z;31,038537;77,127647;1767;0.8409015;0;0;No Data;No Data
1178690611;2007-05-09T06:03:31Z;31,038391;77,127285;1767;0.8789892;0;0;No Data;No Data
1178690620;2007-05-09T06:03:40Z;31,038311;77,126917;1766;0.915124;0;0;No Data;No Data
1178690638;2007-05-09T06:03:58Z;31,038133;77,126152;1800;0.9906622;0;0;No Data;No Data
1178690647;2007-05-09T06:04:07Z;31,037997;77,125770;1800;1.030032;0;0;No Data;No Data
1178690660;2007-05-09T06:04:20Z;31,037776;77,125297;1796;1.081371;0;0;No Data;No Data
1178690671;2007-05-09T06:04:31Z;31,037631;77,124823;1796;1.129373;0;0;No Data;No Data
1178690683;2007-05-09T06:04:43Z;31,037478;77,124347;1829;1.177789;0;0;No Data;No Data
1178690692;2007-05-09T06:04:52Z;31,037406;77,123964;1829;1.215153;0;0;No Data;No Data
1178690701;2007-05-09T06:05:01Z;31,037519;77,123583;1853;1.253558;0;0;No Data;No Data
1178690712;2007-05-09T06:05:12Z;31,037566;77,123116;1853;1.298356;0;0;No Data;No Data
1178690721;2007-05-09T06:05:21Z;31,037746;77,122749;1848;1.338656;0;0;No Data;No Data
1178690728;2007-05-09T06:05:28Z;31,037762;77,122477;1848;1.364658;0;0;No Data;No Data
1178690738;2007-05-09T06:05:38Z;31,037971;77,122113;1832;1.406441;0;0;No Data;No Data
1178690748;2007-05-09T06:05:48Z;31,037983;77,121655;1832;1.45013;0;0;No Data;No Data
1178690761;2007-05-09T06:06:01Z;31,038020;77,121107;1814;1.502528;0;0;No Data;No Data
1178690769;2007-05-09T06:06:09Z;31,038044;77,120741;1814;1.537506;0;0;No Data;No Data
1178690782;2007-05-09T06:06:22Z;31,038100;77,120193;1788;1.590096;0;0;No Data;No Data
1178690792;2007-05-09T06:06:32Z;31,038157;77,119736;1788;1.634078;0;0;No Data;No Data
1178690799;2007-05-09T06:06:39Z;31,038191;77,119461;1754;1.660502;0;0;No Data;No Data
1178690809;2007-05-09T06:06:49Z;31,038185;77,119006;1754;1.703862;0;0;No Data;No Data
1178690817;2007-05-09T06:06:57Z;31,038172;77,118641;1712;1.738617;0;0;No Data;No Data
1178690824;2007-05-09T06:07:04Z;31,038136;77,118367;1712;1.76498;0;0;No Data;No Data
1178690834;2007-05-09T06:07:14Z;31,037827;77,118098;1713;1.807817;0;0;No Data;No Data
1178690843;2007-05-09T06:07:23Z;31,037491;77,118106;1713;1.845207;0;0;No Data;No Data
1178690856;2007-05-09T06:07:36Z;31,037006;77,118214;1680;1.900076;0;0;No Data;No Data
1178690863;2007-05-09T06:07:43Z;31,036824;77,118404;1680;1.92723;0;0;No Data;No Data
1178690873;2007-05-09T06:07:53Z;31,036488;77,118598;1680;1.968951;0;0;No Data;No Data
1178690893;2007-05-09T06:08:13Z;31,035976;77,119250;1709;2.053325;0;0;No Data;No Data
1178690908;2007-05-09T06:08:28Z;31,035451;77,119526;1743;2.117355;0;0;No Data;No Data
1178690923;2007-05-09T06:08:43Z;31,035153;77,120067;1776;2.178705;0;0;No Data;No Data
1178690934;2007-05-09T06:08:54Z;31,035000;77,120518;1801;2.224996;0;0;No Data;No Data
1178690946;2007-05-09T06:09:06Z;31,034953;77,121061;1801;2.277063;0;0;No Data;No Data
1178690957;2007-05-09T06:09:17Z;31,034938;77,121516;1822;2.320501;0;0;No Data;No Data
1178690972;2007-05-09T06:09:32Z;31,034793;77,122162;1807;2.384194;0;0;No Data;No Data
1178690983;2007-05-09T06:09:43Z;31,034754;77,122628;1807;2.428904;0;0;No Data;No Data
1178690992;2007-05-09T06:09:52Z;31,034716;77,123004;1795;2.46506;0;0;No Data;No Data
1178691007;2007-05-09T06:10:07Z;31,034621;77,123662;1774;2.528742;0;0;No Data;No Data
1178691017;2007-05-09T06:10:17Z;31,034422;77,124043;1757;2.571268;0;0;No Data;No Data
1178691026;2007-05-09T06:10:26Z;31,034128;77,124238;1757;2.608896;0;0;No Data;No Data
1178691038;2007-05-09T06:10:38Z;31,033673;77,124255;1738;2.659466;0;0;No Data;No Data
1178691050;2007-05-09T06:10:50Z;31,033247;77,124164;1738;2.707645;0;0;No Data;No Data
1178691061;2007-05-09T06:11:01Z;31,032814;77,124164;1748;2.755796;0;0;No Data;No Data
1178691073;2007-05-09T06:11:13Z;31,032415;77,123968;1748;2.8039;0;0;No Data;No Data
1178691086;2007-05-09T06:11:26Z;31,032156;77,123492;1779;2.857598;0;0;No Data;No Data
1178691099;2007-05-09T06:11:39Z;31,032055;77,122925;1822;2.912816;0;0;No Data;No Data
1178691110;2007-05-09T06:11:50Z;31,031971;77,122454;1822;2.958657;0;0;No Data;No Data
1178691125;2007-05-09T06:12:05Z;31,031854;77,121798;1858;3.022492;0;0;No Data;No Data
1178691134;2007-05-09T06:12:14Z;31,031786;77,121425;1858;3.058771;0;0;No Data;No Data
1178691145;2007-05-09T06:12:25Z;31,031723;77,120964;1889;3.103227;0;0;No Data;No Data
1178691162;2007-05-09T06:12:42Z;31,031946;77,120236;1894;3.176916;0;0;No Data;No Data
1178691172;2007-05-09T06:12:52Z;31,032142;77,119877;1862;3.217488;0;0;No Data;No Data
1178691195;2007-05-09T06:13:15Z;31,032474;77,118978;1853;3.310843;0;0;No Data;No Data
1178691206;2007-05-09T06:13:26Z;31,032680;77,118525;1837;3.359766;0;0;No Data;No Data
1178691220;2007-05-09T06:13:40Z;31,032998;77,118070;1808;3.415803;0;0;No Data;No Data
1178691233;2007-05-09T06:13:53Z;31,033324;77,117613;1792;3.472537;0;0;No Data;No Data
1178691244;2007-05-09T06:14:04Z;31,033639;77,117335;1792;3.516473;0;0;No Data;No Data
1178691267;2007-05-09T06:14:27Z;31,034283;77,116685;1741;3.611339;0;0;No Data;No Data
1178691283;2007-05-09T06:14:43Z;31,034829;77,116399;1700;3.677984;0;0;No Data;No Data
1178691291;2007-05-09T06:14:51Z;31,035047;77,116117;1692;3.714197;0;0;No Data;No Data
